entidad_id,entidad_nombre,sexo,grupo_edad,total
26,Sonora,Hombres,Adolescentes (10-19),210
26,Sonora,Hombres,Adultos (36-59),381
26,Sonora,Hombres,Adultos mayores (60+),59
26,Sonora,Hombres,Infancias (0-9),20
26,Sonora,Hombres,Jóvenes (20-35),577
26,Sonora,Mujeres,Adolescentes (10-19),148
26,Sonora,Mujeres,Adultos (36-59),61
26,Sonora,Mujeres,Adultos mayores (60+),10
26,Sonora,Mujeres,Infancias (0-9),10
26,Sonora,Mujeres,Jóvenes (20-35),98
27,Tabasco,Hombres,Adolescentes (10-19),15
27,Tabasco,Hombres,Adultos (36-59),44
27,Tabasco,Hombres,Adultos mayores (60+),12
27,Tabasco,Hombres,Infancias (0-9),3
27,Tabasco,Hombres,Jóvenes (20-35),67
27,Tabasco,Mujeres,Adolescentes (10-19),18
27,Tabasco,Mujeres,Adultos (36-59),4
27,Tabasco,Mujeres,Adultos mayores (60+),0
27,Tabasco,Mujeres,Infancias (0-9),2
27,Tabasco,Mujeres,Jóvenes (20-35),8
28,Tamaulipas,Hombres,Adolescentes (10-19),140
28,Tamaulipas,Hombres,Adultos (36-59),328
28,Tamaulipas,Hombres,Adultos mayores (60+),66
28,Tamaulipas,Hombres,Infancias (0-9),7
28,Tamaulipas,Hombres,Jóvenes (20-35),441
28,Tamaulipas,Mujeres,Adolescentes (10-19),227
28,Tamaulipas,Mujeres,Adultos (36-59),44
28,Tamaulipas,Mujeres,Adultos mayores (60+),12
28,Tamaulipas,Mujeres,Infancias (0-9),14
28,Tamaulipas,Mujeres,Jóvenes (20-35),101
29,Tlaxcala,Hombres,Adolescentes (10-19),63
29,Tlaxcala,Hombres,Adultos (36-59),8
29,Tlaxcala,Hombres,Adultos mayores (60+),8
29,Tlaxcala,Hombres,Infancias (0-9),6
29,Tlaxcala,Hombres,Jóvenes (20-35),23
29,Tlaxcala,Mujeres,Adolescentes (10-19),30
29,Tlaxcala,Mujeres,Adultos (36-59),18
29,Tlaxcala,Mujeres,Adultos mayores (60+),11
29,Tlaxcala,Mujeres,Infancias (0-9),5
29,Tlaxcala,Mujeres,Jóvenes (20-35),35
30,Veracruz,Hombres,Adolescentes (10-19),121
30,Veracruz,Hombres,Adultos (36-59),213
30,Veracruz,Hombres,Adultos mayores (60+),47
30,Veracruz,Hombres,Infancias (0-9),17
30,Veracruz,Hombres,Jóvenes (20-35),302
30,Veracruz,Mujeres,Adolescentes (10-19),263
30,Veracruz,Mujeres,Adultos (36-59),73
30,Veracruz,Mujeres,Adultos mayores (60+),14
30,Veracruz,Mujeres,Infancias (0-9),26
30,Veracruz,Mujeres,Jóvenes (20-35),142
31,Yucatan,Hombres,Adolescentes (10-19),1
31,Yucatan,Hombres,Adultos (36-59),7
31,Yucatan,Hombres,Adultos mayores (60+),6
31,Yucatan,Hombres,Infancias (0-9),3
31,Yucatan,Hombres,Jóvenes (20-35),8
31,Yucatan,Mujeres,Adolescentes (10-19),3
31,Yucatan,Mujeres,Adultos (36-59),1
31,Yucatan,Mujeres,Adultos mayores (60+),0
31,Yucatan,Mujeres,Infancias (0-9),0
31,Yucatan,Mujeres,Jóvenes (20-35),1
32,Zacatecas,Hombres,Adolescentes (10-19),125
32,Zacatecas,Hombres,Adultos (36-59),227
32,Zacatecas,Hombres,Adultos mayores (60+),34
32,Zacatecas,Hombres,Infancias (0-9),9
32,Zacatecas,Hombres,Jóvenes (20-35),363
32,Zacatecas,Mujeres,Adolescentes (10-19),129
32,Zacatecas,Mujeres,Adultos (36-59),43
32,Zacatecas,Mujeres,Adultos mayores (60+),4
32,Zacatecas,Mujeres,Infancias (0-9),14
32,Zacatecas,Mujeres,Jóvenes (20-35),87
