entidad_id,entidad_nombre,sexo,grupo_edad,total
26,sonora,Mujeres,Infancias (0-9),10
26,sonora,Hombres,Jóvenes (20-35),577
26,sonora,Mujeres,Jóvenes (20-35),98
27,tabasco,Hombres,Adolescentes (10-19),15
27,tabasco,Mujeres,Adolescentes (10-19),18
27,tabasco,Hombres,Adultos (36-59),44
27,tabasco,Mujeres,Adultos (36-59),4
27,tabasco,Hombres,Adultos mayores (60+),12
27,tabasco,Mujeres,Adultos mayores (60+),0
27,tabasco,Hombres,Infancias (0-9),3
27,tabasco,Mujeres,Infancias (0-9),2
27,tabasco,Hombres,Jóvenes (20-35),67
27,tabasco,Mujeres,Jóvenes (20-35),8
28,tamaulipas,Hombres,Adolescentes (10-19),140
28,tamaulipas,Mujeres,Adolescentes (10-19),227
28,tamaulipas,Hombres,Adultos (36-59),328
28,tamaulipas,Mujeres,Adultos (36-59),44
28,tamaulipas,Hombres,Adultos mayores (60+),66
28,tamaulipas,Mujeres,Adultos mayores (60+),12
28,tamaulipas,Hombres,Infancias (0-9),7
28,tamaulipas,Mujeres,Infancias (0-9),14
28,tamaulipas,Hombres,Jóvenes (20-35),441
28,tamaulipas,Mujeres,Jóvenes (20-35),101
29,tlaxcala,Hombres,Adolescentes (10-19),63
29,tlaxcala,Mujeres,Adolescentes (10-19),30
29,tlaxcala,Hombres,Adultos (36-59),8
29,tlaxcala,Mujeres,Adultos (36-59),18
29,tlaxcala,Hombres,Adultos mayores (60+),8
29,tlaxcala,Mujeres,Adultos mayores (60+),11
29,tlaxcala,Hombres,Infancias (0-9),6
29,tlaxcala,Mujeres,Infancias (0-9),5
29,tlaxcala,Hombres,Jóvenes (20-35),23
29,tlaxcala,Mujeres,Jóvenes (20-35),35
30,veracruz,Hombres,Adolescentes (10-19),121
30,veracruz,Mujeres,Adolescentes (10-19),263
30,veracruz,Hombres,Adultos (36-59),213
30,veracruz,Mujeres,Adultos (36-59),73
30,veracruz,Hombres,Adultos mayores (60+),47
30,veracruz,Mujeres,Adultos mayores (60+),14
30,veracruz,Hombres,Infancias (0-9),17
30,veracruz,Mujeres,Infancias (0-9),26
30,veracruz,Hombres,Jóvenes (20-35),302
30,veracruz,Mujeres,Jóvenes (20-35),142
31,yucatan,Hombres,Adolescentes (10-19),1
