entidad_id,sexo,grupo_edad,total
26,Mujeres,Jóvenes (20-35),98
27,Hombres,Adolescentes (10-19),15
27,Mujeres,Adolescentes (10-19),18
27,Hombres,Adultos (36-59),44
27,Mujeres,Adultos (36-59),4
27,Hombres,Adultos mayores (60+),12
27,Mujeres,Adultos mayores (60+),0
27,Hombres,Infancias (0-9),3
27,Mujeres,Infancias (0-9),2
27,Hombres,Jóvenes (20-35),67
27,Mujeres,Jóvenes (20-35),8
28,Hombres,Adolescentes (10-19),140
28,Mujeres,Adolescentes (10-19),227
28,Hombres,Adultos (36-59),328
28,Mujeres,Adultos (36-59),44
28,Hombres,Adultos mayores (60+),66
28,Mujeres,Adultos mayores (60+),12
28,Hombres,Infancias (0-9),7
28,Mujeres,Infancias (0-9),14
28,Hombres,Jóvenes (20-35),441
28,Mujeres,Jóvenes (20-35),101
29,Hombres,Adolescentes (10-19),63
29,Mujeres,Adolescentes (10-19),30
29,Hombres,Adultos (36-59),8
29,Mujeres,Adultos (36-59),18
29,Hombres,Adultos mayores (60+),8
29,Mujeres,Adultos mayores (60+),11
29,Hombres,Infancias (0-9),6
29,Mujeres,Infancias (0-9),5
29,Hombres,Jóvenes (20-35),23
29,Mujeres,Jóvenes (20-35),35
30,Hombres,Adolescentes (10-19),121
30,Mujeres,Adolescentes (10-19),263
30,Hombres,Adultos (36-59),213
30,Mujeres,Adultos (36-59),73
30,Hombres,Adultos mayores (60+),47
30,Mujeres,Adultos mayores (60+),14
30,Hombres,Infancias (0-9),17
30,Mujeres,Infancias (0-9),26
30,Hombres,Jóvenes (20-35),302
30,Mujeres,Jóvenes (20-35),142
31,Hombres,Adolescentes (10-19),1
31,Mujeres,Adolescentes (10-19),3
31,Hombres,Adultos (36-59),7
31,Mujeres,Adultos (36-59),1
31,Hombres,Adultos mayores (60+),6
31,Mujeres,Adultos mayores (60+),0
31,Hombres,Infancias (0-9),3
31,Mujeres,Infancias (0-9),0
31,Hombres,Jóvenes (20-35),8
31,Mujeres,Jóvenes (20-35),1
32,Hombres,Adolescentes (10-19),125
32,Mujeres,Adolescentes (10-19),129
32,Hombres,Adultos (36-59),227
32,Mujeres,Adultos (36-59),43
32,Hombres,Adultos mayores (60+),34
32,Mujeres,Adultos mayores (60+),4
32,Hombres,Infancias (0-9),9
32,Mujeres,Infancias (0-9),14
32,Hombres,Jóvenes (20-35),363
32,Mujeres,Jóvenes (20-35),87
